symbol,timestamp,timezone,open,high,low,close,volume,source_path
SPY,2025-04-07 11:45:00,US/Eastern,503.37,503.71,500.5,502,1828542,data/SPY/2025-04-08.json
SPY,2025-04-07 11:50:00,US/Eastern,502.03,503.72,499.57,499.785,1418624,data/SPY/2025-04-08.json
SPY,2025-04-07 11:55:00,US/Eastern,499.785,501.87,499.46,499.5,1174582,data/SPY/2025-04-08.json
SPY,2025-04-07 12:00:00,US/Eastern,499.5,499.64,497.75,498.8997,1113107,data/SPY/2025-04-08.json
SPY,2025-04-07 12:05:00,US/Eastern,498.92,498.945,496.11,496.422,1321243,data/SPY/2025-04-08.json
SPY,2025-04-07 12:10:00,US/Eastern,496.4,498.28,495.27,497.21,1453560,data/SPY/2025-04-08.json
SPY,2025-04-07 12:15:00,US/Eastern,497.22,497.98,495.465,497.44,1209250,data/SPY/2025-04-08.json
SPY,2025-04-07 12:20:00,US/Eastern,497.4,497.99,495.015,497.4,1374708,data/SPY/2025-04-08.json
SPY,2025-04-07 12:25:00,US/Eastern,497.46,500.52,497.35,499.56,1181545,data/SPY/2025-04-08.json
SPY,2025-04-07 12:30:00,US/Eastern,499.56,501.77,498.96,500.85,1657124,data/SPY/2025-04-08.json
SPY,2025-04-07 12:35:00,US/Eastern,500.94,500.95,499.26,499.39,848354,data/SPY/2025-04-08.json
SPY,2025-04-07 12:40:00,US/Eastern,499.34,500.4,496.85,497.85,1099848,data/SPY/2025-04-08.json
SPY,2025-04-07 12:45:00,US/Eastern,497.81,506.5199,495.54,496.98,992512,data/SPY/2025-04-08.json
SPY,2025-04-07 12:50:00,US/Eastern,496.98,497.89,496,497.57,1123698,data/SPY/2025-04-08.json
SPY,2025-04-07 12:55:00,US/Eastern,497.61,497.97,494.7,495.68,1364569,data/SPY/2025-04-08.json
SPY,2025-04-07 13:00:00,US/Eastern,495.63,503.08,495.59,496.815,3462269,data/SPY/2025-04-08.json
SPY,2025-04-07 13:05:00,US/Eastern,496.83,498.14,495.63,497.58,1663794,data/SPY/2025-04-08.json
SPY,2025-04-07 13:10:00,US/Eastern,497.57,501.74,496.36,501.51,1998458,data/SPY/2025-04-08.json
SPY,2025-04-07 13:15:00,US/Eastern,501.51,503.63,500.62,502.77,1673495,data/SPY/2025-04-08.json
SPY,2025-04-07 13:20:00,US/Eastern,502.84,504.07,501.84,503.1,1393008,data/SPY/2025-04-08.json
SPY,2025-04-07 13:25:00,US/Eastern,503.12,505.94,502.56,505.62,1354249,data/SPY/2025-04-08.json
SPY,2025-04-07 13:30:00,US/Eastern,505.62,505.93,502.16,503.915,1220841,data/SPY/2025-04-08.json
SPY,2025-04-07 13:35:00,US/Eastern,503.91,506.34,503.12,506.2515,1551443,data/SPY/2025-04-08.json
SPY,2025-04-07 13:40:00,US/Eastern,506.26,507.1,504.29,507,1704617,data/SPY/2025-04-08.json
SPY,2025-04-07 13:45:00,US/Eastern,506.94,509.23,504.59,507.605,2919566,data/SPY/2025-04-08.json
SPY,2025-04-07 13:50:00,US/Eastern,507.68,508.84,506.41,507.79,1574393,data/SPY/2025-04-08.json
SPY,2025-04-07 13:55:00,US/Eastern,507.79,509.36,498.2651,509.09,1097484,data/SPY/2025-04-08.json
SPY,2025-04-07 14:00:00,US/Eastern,509.07,510,507.45,508.23,1544926,data/SPY/2025-04-08.json
SPY,2025-04-07 14:05:00,US/Eastern,508.29,508.44,505.5901,507.24,1384394,data/SPY/2025-04-08.json
SPY,2025-04-07 14:10:00,US/Eastern,507.17,508.91,505.18,506.19,1237062,data/SPY/2025-04-08.json
SPY,2025-04-07 14:15:00,US/Eastern,506.19,510,505.9604,509.51,1496748,data/SPY/2025-04-08.json
SPY,2025-04-07 14:20:00,US/Eastern,509.48,510.47,507.86,509.1,1489841,data/SPY/2025-04-08.json
SPY,2025-04-07 14:25:00,US/Eastern,509.15,509.31,504.66,505.19,1169049,data/SPY/2025-04-08.json
SPY,2025-04-07 14:30:00,US/Eastern,505.15,506.47,504.81,506.02,958815,data/SPY/2025-04-08.json
SPY,2025-04-07 14:35:00,US/Eastern,506.02,507.86,505.5,507.33,1031933,data/SPY/2025-04-08.json
SPY,2025-04-07 14:40:00,US/Eastern,507.36,508.34,506.23,506.69,881669,data/SPY/2025-04-08.json
SPY,2025-04-07 14:45:00,US/Eastern,506.71,507.68,504.95,506.0001,1128177,data/SPY/2025-04-08.json
SPY,2025-04-07 14:50:00,US/Eastern,506.02,506.24,503.37,503.555,1201258,data/SPY/2025-04-08.json
SPY,2025-04-07 14:55:00,US/Eastern,503.56,504.02,502.28,503.21,1328155,data/SPY/2025-04-08.json
SPY,2025-04-07 15:00:00,US/Eastern,503.25,506.31,502.92,503.69,2518303,data/SPY/2025-04-08.json
SPY,2025-04-07 15:05:00,US/Eastern,503.74,504.32,501.56,501.88,1045055,data/SPY/2025-04-08.json
SPY,2025-04-07 15:10:00,US/Eastern,501.7,502.41,500.9203,501.77,1902783,data/SPY/2025-04-08.json
SPY,2025-04-07 15:15:00,US/Eastern,501.74,504.33,500.14,503.605,1863738,data/SPY/2025-04-08.json
SPY,2025-04-07 15:20:00,US/Eastern,503.55,504.29,501.59,502.21,1858779,data/SPY/2025-04-08.json
SPY,2025-04-07 15:25:00,US/Eastern,502.16,502.815,500.42,500.605,1853500,data/SPY/2025-04-08.json
SPY,2025-04-07 15:30:00,US/Eastern,500.605,506.17,500.56,504.99,2342961,data/SPY/2025-04-08.json
SPY,2025-04-07 15:35:00,US/Eastern,505.03,506.64,504,504.58,2116081,data/SPY/2025-04-08.json
SPY,2025-04-07 15:40:00,US/Eastern,504.6,504.97,501.25,501.5,2155430,data/SPY/2025-04-08.json
SPY,2025-04-07 15:45:00,US/Eastern,501.45,502.88,501.02,502.63,3165055,data/SPY/2025-04-08.json
SPY,2025-04-07 15:50:00,US/Eastern,502.54,503.456,500.8,503.27,3886853,data/SPY/2025-04-08.json
