symbol,timestamp,timezone,open,high,low,close,volume,source_path
SPY,2024-11-29 08:45:00,US/Eastern,599.47,599.65,598.83,599.65,36832,data/SPY/2024-12-02.json
SPY,2024-11-29 08:50:00,US/Eastern,599.625,599.76,599.53,599.54,7196,data/SPY/2024-12-02.json
SPY,2024-11-29 08:55:00,US/Eastern,599.58,599.76,599.48,599.71,4973,data/SPY/2024-12-02.json
SPY,2024-11-29 09:00:00,US/Eastern,599.76,600.07,599.76,600.04,19589,data/SPY/2024-12-02.json
SPY,2024-11-29 09:05:00,US/Eastern,600.04,600.19,600.04,600.15,27807,data/SPY/2024-12-02.json
SPY,2024-11-29 09:10:00,US/Eastern,600.16,600.35,600.15,600.23,57128,data/SPY/2024-12-02.json
SPY,2024-11-29 09:15:00,US/Eastern,600.21,600.32,600.1,600.275,5281,data/SPY/2024-12-02.json
SPY,2024-11-29 09:20:00,US/Eastern,600.26,601.215,600.21,600.21,5761,data/SPY/2024-12-02.json
SPY,2024-11-29 09:25:00,US/Eastern,600.21,600.31,599.5,599.6,96970,data/SPY/2024-12-02.json
SPY,2024-11-29 09:30:00,US/Eastern,599.66,600.1,599.3805,599.92,831690,data/SPY/2024-12-02.json
SPY,2024-11-29 09:35:00,US/Eastern,599.93,600.34,599.79,600.3013,407897,data/SPY/2024-12-02.json
SPY,2024-11-29 09:40:00,US/Eastern,600.3,600.33,600,600.31,289017,data/SPY/2024-12-02.json
SPY,2024-11-29 09:45:00,US/Eastern,600.31,600.53,600.07,600.21,496711,data/SPY/2024-12-02.json
SPY,2024-11-29 09:50:00,US/Eastern,600.1925,600.56,600.1925,600.56,318963,data/SPY/2024-12-02.json
SPY,2024-11-29 09:55:00,US/Eastern,600.56,600.7199,600.19,600.71,345373,data/SPY/2024-12-02.json
SPY,2024-11-29 10:00:00,US/Eastern,600.71,601.0599,600.695,600.99,528403,data/SPY/2024-12-02.json
SPY,2024-11-29 10:05:00,US/Eastern,600.99,601.41,600.99,601.25,448442,data/SPY/2024-12-02.json
SPY,2024-11-29 10:10:00,US/Eastern,601.24,601.6499,601.23,601.585,348604,data/SPY/2024-12-02.json
SPY,2024-11-29 10:15:00,US/Eastern,601.5899,601.74,601.47,601.57,329033,data/SPY/2024-12-02.json
SPY,2024-11-29 10:20:00,US/Eastern,601.57,601.61,601.27,601.4702,312886,data/SPY/2024-12-02.json
SPY,2024-11-29 10:25:00,US/Eastern,601.475,601.53,601.21,601.4175,165696,data/SPY/2024-12-02.json
SPY,2024-11-29 10:30:00,US/Eastern,601.42,601.66,601.42,601.65,249283,data/SPY/2024-12-02.json
SPY,2024-11-29 10:35:00,US/Eastern,601.66,601.88,601.45,601.7795,250584,data/SPY/2024-12-02.json
SPY,2024-11-29 10:40:00,US/Eastern,601.76,601.89,601.62,601.63,365234,data/SPY/2024-12-02.json
SPY,2024-11-29 10:45:00,US/Eastern,601.64,601.7,601.42,601.499,440245,data/SPY/2024-12-02.json
SPY,2024-11-29 10:50:00,US/Eastern,601.49,601.68,601.41,601.65,126519,data/SPY/2024-12-02.json
SPY,2024-11-29 10:55:00,US/Eastern,601.66,601.84,601.63,601.81,171524,data/SPY/2024-12-02.json
SPY,2024-11-29 11:00:00,US/Eastern,601.81,602.04,601.81,601.9,291037,data/SPY/2024-12-02.json
SPY,2024-11-29 11:05:00,US/Eastern,601.89,602.16,601.8,602.06,204526,data/SPY/2024-12-02.json
SPY,2024-11-29 11:10:00,US/Eastern,602.07,602.22,601.96,602.2001,208402,data/SPY/2024-12-02.json
SPY,2024-11-29 11:15:00,US/Eastern,602.215,602.3897,602.09,602.11,372324,data/SPY/2024-12-02.json
SPY,2024-11-29 11:20:00,US/Eastern,602.12,602.37,602.1149,602.345,278936,data/SPY/2024-12-02.json
SPY,2024-11-29 11:25:00,US/Eastern,602.34,602.38,602.22,602.33,280973,data/SPY/2024-12-02.json
SPY,2024-11-29 11:30:00,US/Eastern,602.325,602.39,602.2,602.21,244822,data/SPY/2024-12-02.json
SPY,2024-11-29 11:35:00,US/Eastern,602.202,602.26,602.06,602.1999,175539,data/SPY/2024-12-02.json
SPY,2024-11-29 11:40:00,US/Eastern,602.1999,602.44,602.1999,602.4399,207476,data/SPY/2024-12-02.json
SPY,2024-11-29 11:45:00,US/Eastern,602.435,602.7,602.43,602.6301,334951,data/SPY/2024-12-02.json
SPY,2024-11-29 11:50:00,US/Eastern,602.6408,602.89,602.6099,602.84,423000,data/SPY/2024-12-02.json
SPY,2024-11-29 11:55:00,US/Eastern,602.83,602.83,602.625,602.69,315163,data/SPY/2024-12-02.json
SPY,2024-11-29 12:00:00,US/Eastern,602.7,602.83,602.59,602.83,175440,data/SPY/2024-12-02.json
SPY,2024-11-29 12:05:00,US/Eastern,602.83,603.1895,602.78,603.0601,430866,data/SPY/2024-12-02.json
SPY,2024-11-29 12:10:00,US/Eastern,603.06,603.06,602.86,602.97,460519,data/SPY/2024-12-02.json
SPY,2024-11-29 12:15:00,US/Eastern,602.97,603.26,602.905,603.21,714699,data/SPY/2024-12-02.json
SPY,2024-11-29 12:20:00,US/Eastern,603.205,603.205,602.75,602.805,714082,data/SPY/2024-12-02.json
SPY,2024-11-29 12:25:00,US/Eastern,602.8,603.03,602.75,602.83,646336,data/SPY/2024-12-02.json
SPY,2024-11-29 12:30:00,US/Eastern,602.83,603.24,602.82,603.23,726658,data/SPY/2024-12-02.json
SPY,2024-11-29 12:35:00,US/Eastern,603.24,603.35,603.12,603.195,685732,data/SPY/2024-12-02.json
SPY,2024-11-29 12:40:00,US/Eastern,603.2,603.24,603.03,603.16,573330,data/SPY/2024-12-02.json
SPY,2024-11-29 12:45:00,US/Eastern,603.16,603.24,603.07,603.205,546120,data/SPY/2024-12-02.json
SPY,2024-11-29 12:50:00,US/Eastern,603.2,603.33,602.78,602.9301,1499586,data/SPY/2024-12-02.json
SPY,2024-11-29 12:55:00,US/Eastern,602.93,602.935,602.3,602.45,3857365,data/SPY/2024-12-02.json
SPY,2024-11-29 13:00:00,US/Eastern,602.46,602.69,598.7518,602.54,4397352,data/SPY/2024-12-02.json
